reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-4022.066527777778,719,1337.7265,11.8611,2425,0,1,2026-06-26T01:52:11.713548
-3675.8086111111115,719,1352.4548,10.7361,2472,0,2,2026-06-26T01:53:38.077573
-7750.736435185186,719,1968.7864,11.2083,1912,0,3,2026-06-26T01:56:29.064677
-520.1570601851852,719,410.1268,11.9722,3474,0,4,2026-06-26T01:59:48.586038
-117.91564814814814,719,15.6733,4.3889,3985,0,5,2026-06-26T02:03:07.190126
-126.46168981481486,719,57.7268,4.6389,3950,0,6,2026-06-26T02:06:28.663691
-136.69476851851857,719,118.7474,9.5833,3835,0,7,2026-06-26T02:09:47.106081
-4582.811921296296,719,1551.6316,10.4444,2346,0,8,2026-06-26T02:13:08.759371
-107.61861111111112,719,43.8177,5.5139,3992,0,9,2026-06-26T02:16:15.783253
-93.67414351851856,719,15.4335,3.9444,3932,0,10,2026-06-26T02:18:37.435937
-86.24479166666664,719,13.5261,4.4583,3890,0,11,2026-06-26T02:21:27.122175
-107.72451388888888,719,32.9306,5.4306,3987,0,12,2026-06-26T02:24:44.129475
-98.58219907407414,719,15.1319,4.0,4022,0,13,2026-06-26T02:28:04.024293
-118.63425925925918,719,48.9393,5.3611,4019,0,14,2026-06-26T02:31:52.182859
-97.31782407407405,719,29.9325,5.3194,4004,0,15,2026-06-26T02:35:11.074036
